;2724
计算机应用技术（银行计算机应用）;2261
数字媒体技术 （游戏技术方向）;8783
外贸商务与会计―?外贸领域的能手;7811
车辆工程（城市轨道交通车辆工程）;3598
城市燃气工程技术专业（理科）;8886
应用英语（纺织外贸方向）;8013
　　广告设计与制作;4759
食品营养与检测(食品营养与配餐方向);2465
国家生命科学与技术人才培养基地班;5480
汉语言文学（高级涉外文秘）;565
制药工程专业（学制4年）;2383
音乐教育（幼教师资）（师范类）;9599
机械设计与制造/纺织工艺;4381
商务英语（国际贸易）;7275
理财学（中澳合作）;9327
生物技术 （含英汉双语授课）;2374
城乡规划（学制五年）;5520
社区管理与服务（社区法律与物业管理）;895
商务英语(海事);4204
材料科学与工程专业（材料类）;5957
罗马尼亚语;338
文秘（涉外文秘方向）;6484
助产（专科）;1644
新闻学（网络新闻）专业方向;1327
国际经济与贸易（英文授课班）;4537
汽车电子技术;716
电子科学与技术（光电信息方向）;8150
会计（税务会计方向）;3233
涉外护理（英语护士、日语护士）;2074
机械设计;5874
服装与服饰设计;485
市场营销（创业管理）;7375
历史学专业;2194
生物技术1;7529
医学信息工程;3573
机械设计制造及其自动化（机械设计制造方向）;7575
公共事业管理专业(休闲服务);5845
酒店管理（涉外酒店管理方向）;3431
体育艺术与健康系（社区康复）;828
生物科学（含英汉双语授课，学制4年）;2323
旅游管理类;5485
中西医临床医学专业;9356
生物学;4927
美术教育(师范);7983
建筑智能化工程技术;6897
工商管理(市场营销方向);8387
体育教育(师范类);9569
　　审计学专业（四年制本科）;9636
食品检测与管理;2280
通信网络与设备专业(通信工程管理方向) ;3388
宠物养护与疫病防治(宠物医学方向);5683
应用电子技术教育（师范）;7525
机电一体化技术(数控技术应用方向);9470
空乘乘务（空乘英语服务方向）;1927
针灸推拿学（康复医学方向）;2680
侦查学（国防生）;3656
数学与应用数学（师范）（本科）;7473
医学实验学;7
建筑工程管理（造价方向）;2274
英语师范;2959
计算机科学与技术（嵌入式系统方向）;6502
旅游管理（省政府财政支持“专递课堂”项目承建专业）;7082
会计与审计专业（文理兼招）;8910
数据库管理;5381
广告设计与制作（广告策划方向）（670112）;5355
企业生产与营销―?供不应求的热门;7809
绿色食品生产与经营;3252
【人力资源管理】文理科;5037
光电信息科学与工程专业（物理科学学院）;1208
软件工程（移动设备应用开发方向）;6048
计算机网络系统管理（三年制）;5164
导游（涉外导游方向）;9056
商务管理与金融;3898
自动化（工业自动化方向）;2013
体育教育（社区体育指导与管理方向）;9218
机械设计制造及其自动化（机电方向）;2010
初等教育(原小学教育);5113
人力资源管理（人力资源管理师方向）;6847
汉语言文学（师范）（福清校区）;4855
现代纺织技术（生产技术管理方向）;8961
计算机应用技术(应用软件方向);753
心理咨询（专科）;9595
工程学院;3891
汉语言文学（高级秘书）（本科）;7478
公安文秘方向;4097
特殊教育（视障教育方向）;4231
核工程与核技术（核电站）;7160
旅游管理（酒店服务与管理方向）;4105
发电厂及电力系统（风力发电方向）;4589
针织服装与针织工艺;5748
监狱管理;5823
财务管理（工程财务方向）;7718
企业管理;2286
英语专业（文理兼招）;8918
  舞蹈表演;5862
化学类;2292
生物信息学专业;8325
装饰艺术设计(工艺品设计方向);5786
高分子材料与工程（电气绝缘材料）;3065
艺术设计（视觉传达方向）;5909
初等教育（美术教育方向）;6240
无机非金属材料工程技术;9065
装潢艺术设计（视觉传媒设计）;7785
特种能源工程与烟火技术;2124
逻辑学;138
旅游管理（非师范专业）;9394
医疗保险;2458
数字动画设计;6669
影视制作专业;1007
生物工程（二批）;5568
环境设计专业;666
学前教育（师范）（专科）;6081
汉语言文学（文化创意产业方向）;3675
移动通信技术(4G移动通信方向);8485
房地产经营与估价(院级特色专业);4323
印刷图文信息处理（中美合作）;3771
计算机网络技术（网络工程管理方向）;7949
中国少数民族语言学;2967
  连锁经营与管理（酒店管理）;395
数控技术;720
船舶电子电气工程;3585
考古;6
非金属矿开采技术;9226
测控技术与仪器(产品质量工程) ;6526
食品生物技术（制糖工艺）;3406
通信技术;718
汽车整形技术;1381
材料科学与工程（材料化学）;7157
音乐教育（音乐教育与表演方向）;3273
电气工程及其自动化（电力工程与管理方向）;7549
刑事执行专业介绍;6969
计算机网络技术（含特色就业班）;1966
艺术设计学;187
日语(旅游日语方向);4907
新闻学（国际新闻）;7411
建筑设备工程;9117
医学影像技术（核磁物理方向）;6360
导弹维修;6919
现代纺织技术(纺织品设计);8003
税务（税务代理方向）;1372
动漫设计与制作（游戏美术设计方向）;1871
电子信息类(实验班);380
法学（知识产权）;9439
能源与动力工程(流体机械及工程);9536
视觉传达艺术设计 ;4177
法律事务（金融与商务法律事务）;9152
园林工程技术（市政工程） ;4269
计算机信息管理(国际游轮管理方向);8517
机电一体化技术(数控加工方向);6250
模具技术;5395
设计学院;7121
艺术设计(视觉传达艺术设计);6452
政府與公共行政;9737
机电一体化技术（电梯方向）;7737
公路机械化施工技术;2781
文秘（文秘与电脑速记方向）（660112）;5340
英语（商贸方向）;5505
会计（专科）;3163
现代企业管理（项目管理方向）;952
电子信息工程技术（专科）;9587
韩国语（朝鲜语）专业;5848
表演艺术(音乐表演);7836
测绘工程 ;1532
现代教育技术（师范类、理工类）;5061
兽药生产与营销;2522
电气工程及其自动化（电力牵引与传动控制）;8742
电子商务（IT日语）;2884
理科学;6918
计算机应用技术（含网站建设与维护方向））;1964
汉语言文学专业;499
会计学（注册会计师）;2736
动漫设计与制作（二维动画设计方向）;4310
经济学（国际经济与贸易方向）;6584
【公共事务管理（安全管理方向）】文科;5041
水土保护与荒漠化防治;2581
电脑艺术设计（数码影像制作与后期处理）;887
机电一体化技术（专科）;3166
药学（药品营销方向）;9188
高压输配电线路运行与维护;7041
经济学类创新班（本硕连读）;7162
工商企业管理（本科）;5273
中医保健康复技术;983
材料成型与控制工程（模具数字化设计及制造方向）;7591
国际经济与贸易（中德项目）;5539
项目管理;347
英语（经贸英语）;3010
应用韩国语;3358
城市热能应用技术;1389
电子商务（商学院）;1183
土木工程专业 （建筑工程方向）;7510
会计电算化（会计与统计核算）;9608
城市地下空间工程专业 ;1552
绘画（游戏美术）;6861
 机电一体化;6937
光电信息科学与工程专业;3549
电气工程及其自动化（光伏发电）;4066
旅游服务与管理;3181
资源环境与城市规划管理;142
资源勘察;4528
计算机应用技术（日语方向）;2890
海洋渔业科学与技术专业;2747
计算机网络技术（远程医疗）;3758
财物管理;9435
机械类;6413
药物制剂本科;7313
工艺美术（本科）;7486
计算机多媒体技术（游戏动画）;4459
交通运输类;1555
统计学（二批）;5600
音乐教育（音乐、舞蹈表演）;5365
计算机科学与技术（微软IT教育）;3105
护理(医药卫生大类);6303
金融学类;515
环境工程（电力环保）;4022
软件外包服务（日语与信息技术方向）;8701
护理（社区方向）;1775
电气自动化技术   ;1705
主持与播音（670307）;5332
视觉传达设计（动画与游戏美术）;3313
化学(国家特色专业、设有基础专业奖学金);6874
计算机应用技术（网络信息安全方向）;6794
公路运输与管理（交通运输管理）;1128
汉语言文学（文秘与行政管理，本科，文史类）;8407
化学工程与工艺（精细化工方向）;5492
广告设计与制作(艺术设计传媒大类)  ;6300
财务管理专业（财务与金融方向）;271
辐射防护与环境工程;3535
公共事业管理（医疗保险方向）;3967
艺术设计（分为：视觉传达方向、环境艺术设计方向）;6344
动物科学;288
文秘（非师范专业）;9395
化学工程与工艺专业（能源变换材料及工程方向）;9238
材料类专业;1553
旅游管理（福清校区）;4844
城市检测与工程技术 ;4260
计算机科学与技术(信息安全方向);6440
运动马驯养与管理;2320
汽车运用技术(营销与保险方向);5897
资源与环境经济学;2306
国际商务(海外本科直通车);4349
通信技术（理工类）;5057
日本研究;9742
工科试验班;77
化学（现代分析与测试技术）（本科）;7470
能源化学工程;232
畜牧兽医（宠物医疗）;3361
电气自动化技术（电气工程自动化与电力系统;3283
音乐表演(含声乐、器乐方向);6954
应用电子技术（硅材料方向）;9054
食品科学与工程学;2682
意大利语(Italiano);8372
护理学（幼儿保育方向）;9189
旅游管理(旅游大类);6294
广播影视编导;572
计算机应用技术(网络办公自动化方向);7689
信息技术应用与管理 ;2854
会计学（本科，文理兼收）;8433
劳动与社会保障(医疗保险方向);4660
信息管理与信息系统（SAP ERP开发方;2873
宠物医学 ;4290
土木工程(建筑工程方向);6582
电脑艺术设计(微电影制作方向);8526
自动化创新班（本硕连读）;7154
服装设计(人物形象设计与表演方向);758
动物药学（学制4年）;2396
印度尼西亚语;102
银行金融学;3900
舞蹈表演（体育舞蹈方向）专业;9289
汽车电子技术（检测与维修方面）;2499
体育教育专业（社会体育）;7513
旅游管理;195
产品造型设计;678
工程监理（园林绿化工程监理） ;4271
物业管理（旅游房地产与物业管理方向）;6658
广告学（本科，文理兼收）;8453
通信工程(4G移动通信方向);8773
药学专业;1683
市政工程技术;1652
指挥自动化工程;972
工商管理（航空经营管理）;3605
物流管理(国际物流管理方向）;7256
环境检测与治理技术;4377
教育學士學位小學教育;9724
汽车服务工程专业（汽车检测与维修方向）;7598
交通运输类（中外合作办学）;3153
计算机多媒体技术（数字影视制作）专业;9077
学前教育本科;2026
音乐学（理论作曲方向）;8928
综合理科教育;2178
音乐教育(师范类)(艺术类);4519
商务英语(原外贸英语);5110
社会体育指导与管理（福清校区）;4848
计算机软件技术（应用软件方向）;6974
计算机应用技术（网站开发与管理方向）;6677
财务管理(专科);5842
商务英语（本科）;5262
服装艺术系;8714
汉语言文学（高级文秘）;2709
语文教育（文秘办公自动化）;6499
数学与应用数学（经济数学方向）;6038
现代教育技术(师范);7977
产品质量工程;1482
计算机应用技术(.Net应用方向);6092
食品营养与检测（食品安全方向）;3248
经济学（金融学）;7296
计算机应用技术（嵌入式系统方向）;1842
政治学与行政学（周恩来政府管理学院）;1190
计算机信息管理（文理兼收）;5199
生物学基地班;2287
